identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
truvalidate.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:00 UTC,2024-07-18 16:20:00 UTC
https://customertest.drivershistory.com/currentversion6/wssubjectprescreenplus.asmx,URL,,false,false,high,high,high,critical,,2023-12-06 17:36:41 UTC,2024-04-09 20:06:17 UTC
qa.core-data.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:12 UTC,2024-07-18 16:21:12 UTC
quickcheck.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:36 UTC,2024-07-18 16:19:36 UTC
truview.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:00 UTC,2024-07-18 16:20:00 UTC
dachiuat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:58 UTC,2024-07-18 16:18:58 UTC
lon01vpn2.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:19 UTC,2024-07-18 16:19:19 UTC
mrs4.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:20 UTC,2024-07-18 16:19:20 UTC
idmart.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:18 UTC,2024-07-18 16:19:18 UTC
vchncibdesktop.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:02 UTC,2024-07-18 16:20:02 UTC
claimscheck.cibil.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:10 UTC,2024-07-18 16:22:10 UTC
hybridmail.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:18 UTC,2024-07-18 16:19:18 UTC
sbicardgateway.cibil.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:11 UTC,2024-07-18 16:22:11 UTC
boi.ts.dstr.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:10 UTC,2024-07-18 16:21:10 UTC
wh.em-tuci.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:02 UTC,2024-07-18 16:20:02 UTC
direct-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:59 UTC,2024-07-18 16:18:59 UTC
filetransfer.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
administrationdirect-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:37 UTC,2024-07-18 16:18:37 UTC
ui.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:01 UTC,2024-07-18 16:20:01 UTC
cmspvw.transunion.do,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:14 UTC,2024-07-18 16:22:14 UTC
sendlogs-data.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:37 UTC,2024-07-18 16:19:37 UTC
deservices-uat.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
links.em-tuci.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:19 UTC,2024-07-18 16:19:19 UTC
tuinf.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
ts.sftp-portal.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:12 UTC,2024-07-18 16:21:12 UTC
*.transunion.com.br,WILDCARD,,false,true,high,high,high,critical,,2024-08-05 13:42:38 UTC,2024-08-05 13:42:38 UTC
*.chile.transunion.com,WILDCARD,,false,true,high,high,high,critical,,2024-04-01 18:36:28 UTC,2024-07-18 16:18:42 UTC
vpn2.transunion.ca,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:55 UTC,2024-07-18 16:20:55 UTC
dashboards.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:58 UTC,2024-07-18 16:18:58 UTC
tu-pvw2.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:01 UTC,2024-07-18 16:20:01 UTC
ct.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
verifications.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
vpn-tokens.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:02 UTC,2024-07-18 16:20:02 UTC
dms.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
idmanager-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:18 UTC,2024-07-18 16:19:18 UTC
apimarketplace.transunioncibil.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
mremedy-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:20 UTC,2024-07-18 16:19:20 UTC
smgw-uat2.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:37 UTC,2024-07-18 16:19:37 UTC
tu-pvw.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:01 UTC,2024-07-18 16:20:01 UTC
spo3w9ap01-extweb.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:38 UTC,2024-07-18 16:19:38 UTC
turssservices-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:01 UTC,2024-07-18 16:20:01 UTC
smweb-uat2.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:37 UTC,2024-07-18 16:19:37 UTC
tustore.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:01 UTC,2024-07-18 16:20:01 UTC
qex.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:36 UTC,2024-07-18 16:19:36 UTC
qte-test.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:36 UTC,2024-07-18 16:19:36 UTC
*.transunion.do,WILDCARD,"",false,true,high,high,high,critical,,2024-04-01 18:35:59 UTC,2024-04-01 18:35:59 UTC
direct.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:59 UTC,2024-07-18 16:18:59 UTC
reportingcust1a.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:37 UTC,2024-07-18 16:19:37 UTC
svmidweb01.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
c3app.transunion.hk,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:11 UTC,2024-07-18 16:22:11 UTC
goodworks.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:00 UTC,2024-07-18 16:19:00 UTC
mrs3.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:20 UTC,2024-07-18 16:19:20 UTC
securetransfer-uat.transunion.ca,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:54 UTC,2024-07-18 16:20:54 UTC
meet.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:11 UTC,2024-07-18 16:21:11 UTC
ct.openbanking.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:11 UTC,2024-07-18 16:21:11 UTC
gtm.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:17 UTC,2024-07-18 16:19:17 UTC
preemployment-api-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:36 UTC,2024-07-18 16:19:36 UTC
tuaba.transunion.co.za,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:13 UTC,2024-07-18 16:22:13 UTC
apiaccess-test.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:39 UTC,2024-07-18 16:18:39 UTC
api1.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:39 UTC,2024-07-18 16:18:39 UTC
chivpn3.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:40 UTC,2024-07-18 16:18:40 UTC
truvalidate-console-prod.gcp.gfs.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:00 UTC,2024-07-18 16:20:00 UTC
quickcheck-stg.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:36 UTC,2024-07-18 16:19:36 UTC
fch-test.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:59 UTC,2024-07-18 16:18:59 UTC
thesource.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:38 UTC,2024-07-18 16:19:38 UTC
courtclerkadmin.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:58 UTC,2024-07-18 16:18:58 UTC
decisioncentre-stg.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:59 UTC,2024-07-18 16:18:59 UTC
hk1-sip.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:18 UTC,2024-07-18 16:19:18 UTC
disclosureservices.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:59 UTC,2024-07-18 16:18:59 UTC
hsp1.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:18 UTC,2024-07-18 16:19:18 UTC
*.neustarcare.com,WILDCARD,"",false,true,high,high,high,critical,,2024-04-01 18:39:22 UTC,2024-04-01 18:39:22 UTC
crm.cibil.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:10 UTC,2024-07-18 16:22:10 UTC
ciamfed.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:10 UTC,2024-07-18 16:21:10 UTC
api-mul.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:37 UTC,2024-07-18 16:18:37 UTC
consumersolutions.transunion.ca,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:54 UTC,2024-07-18 16:20:54 UTC
vpn.npac.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:14 UTC,2024-07-18 16:22:14 UTC
*.transunion.mx,WILDCARD,"",false,true,high,high,high,critical,,2024-04-01 18:37:09 UTC,2024-04-01 18:37:09 UTC
personalsolution.transunion.hk,URL,,false,true,high,high,high,critical,,2024-04-26 16:49:39 UTC,2024-05-08 16:09:28 UTC
stageaemapi.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:38 UTC,2024-07-18 16:19:38 UTC
consumerdispute.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:58 UTC,2024-07-18 16:18:58 UTC
apiaccess-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:39 UTC,2024-07-18 16:18:39 UTC
fedcorpauth.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:59 UTC,2024-07-18 16:18:59 UTC
tut.npac.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:14 UTC,2024-07-18 16:22:14 UTC
my3-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:20 UTC,2024-07-18 16:19:20 UTC
cosmos.transunion.co.uk,URL,,false,true,high,high,high,critical,,2024-07-18 16:21:11 UTC,2024-07-18 16:21:11 UTC
ash02oobvpn.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:39 UTC,2024-07-18 16:18:39 UTC
de-test.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:58 UTC,2024-07-18 16:18:58 UTC
global-mktg.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:00 UTC,2024-07-18 16:19:00 UTC
myscore.cibil.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:22:11 UTC,2024-07-18 16:22:11 UTC
bdsacxiom-uat.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:18:40 UTC,2024-07-18 16:18:40 UTC
pmsummit.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:19:36 UTC,2024-07-18 16:19:36 UTC
tuhcm.transunion.com,URL,,false,true,high,high,high,critical,,2024-07-18 16:20:01 UTC,2024-07-18 16:20:01 UTC
